in s,C1 in V
1.096E-07,4.53914E-01
1.100E-07,4.57820E-01
1.104E-07,4.59773E-01
1.108E-07,4.63680E-01
1.112E-07,4.69539E-01
1.116E-07,4.57820E-01
1.120E-07,4.61727E-01
1.124E-07,4.69539E-01
1.128E-07,4.61727E-01
1.132E-07,4.69539E-01
1.136E-07,4.67586E-01
1.140E-07,4.71492E-01
1.144E-07,4.71492E-01
1.148E-07,4.71492E-01
1.152E-07,4.65633E-01
1.156E-07,4.73445E-01
1.160E-07,4.75398E-01
1.164E-07,4.73445E-01
1.168E-07,4.69539E-01
1.172E-07,4.69539E-01
1.176E-07,4.69539E-01
1.180E-07,4.73445E-01
1.184E-07,4.67586E-01
1.188E-07,4.71492E-01
1.192E-07,4.75398E-01
1.196E-07,4.73445E-01
1.200E-07,4.75398E-01
1.204E-07,4.83211E-01
1.208E-07,4.81258E-01
1.212E-07,4.77352E-01
1.216E-07,4.73445E-01
1.220E-07,4.85164E-01
1.224E-07,4.87117E-01
1.228E-07,4.94930E-01
1.232E-07,4.98836E-01
1.236E-07,5.00789E-01
1.240E-07,5.00789E-01
1.244E-07,5.00789E-01
1.248E-07,4.98836E-01
1.252E-07,5.02742E-01
1.256E-07,5.06648E-01
1.260E-07,5.04695E-01
1.264E-07,4.94930E-01
1.268E-07,5.00789E-01
1.272E-07,4.91023E-01
1.276E-07,4.92977E-01
1.280E-07,4.92977E-01
1.284E-07,4.87117E-01
1.288E-07,4.94930E-01
1.292E-07,4.94930E-01
1.296E-07,4.87117E-01
1.300E-07,4.87117E-01
1.304E-07,4.98836E-01
1.308E-07,4.98836E-01
1.312E-07,4.91023E-01
1.316E-07,4.89070E-01
1.320E-07,4.92977E-01
1.324E-07,4.98836E-01
1.328E-07,4.92977E-01
1.332E-07,4.91023E-01
1.336E-07,4.92977E-01
1.340E-07,4.94930E-01
1.344E-07,4.92977E-01
1.348E-07,4.94930E-01
1.352E-07,4.92977E-01
1.356E-07,5.06648E-01
1.360E-07,4.96883E-01
1.364E-07,4.89070E-01
1.368E-07,4.94930E-01
1.372E-07,4.92977E-01
1.376E-07,4.92977E-01
1.380E-07,5.02742E-01
1.384E-07,5.06648E-01
1.388E-07,5.00789E-01
1.392E-07,5.02742E-01
1.396E-07,4.94930E-01
1.400E-07,5.00789E-01
1.404E-07,4.98836E-01
1.408E-07,4.96883E-01
1.412E-07,4.94930E-01
1.416E-07,4.94930E-01
1.420E-07,5.02742E-01
1.424E-07,4.94930E-01
1.428E-07,4.98836E-01
1.432E-07,5.08602E-01
1.436E-07,5.02742E-01
1.440E-07,4.98836E-01
1.444E-07,5.00789E-01
1.448E-07,4.94930E-01
1.452E-07,4.98836E-01
1.456E-07,4.98836E-01
1.460E-07,5.04695E-01
1.464E-07,5.00789E-01
1.468E-07,5.00789E-01
1.472E-07,5.00789E-01
1.476E-07,5.04695E-01
1.480E-07,5.08602E-01
1.484E-07,5.00789E-01
1.488E-07,5.02742E-01
1.492E-07,5.06648E-01
1.496E-07,5.00789E-01
1.500E-07,5.00789E-01
1.504E-07,5.04695E-01
1.508E-07,5.02742E-01
1.512E-07,4.96883E-01
1.516E-07,5.06648E-01
1.520E-07,5.08602E-01
1.524E-07,5.02742E-01
1.528E-07,5.02742E-01
1.532E-07,5.06648E-01
1.536E-07,5.02742E-01
1.540E-07,5.08602E-01
1.544E-07,5.10555E-01
1.548E-07,5.12508E-01
1.552E-07,5.02742E-01
1.556E-07,5.02742E-01
1.560E-07,5.06648E-01
1.564E-07,5.08602E-01
1.568E-07,5.08602E-01
1.572E-07,5.02742E-01
1.576E-07,5.06648E-01
1.580E-07,5.06648E-01
1.584E-07,5.10555E-01
1.588E-07,5.04695E-01
1.592E-07,5.06648E-01
1.596E-07,5.08602E-01
1.600E-07,5.08602E-01
1.604E-07,5.00789E-01
1.608E-07,5.02742E-01
1.612E-07,5.10555E-01
1.616E-07,4.98836E-01
1.620E-07,5.00789E-01
1.624E-07,5.10555E-01
1.628E-07,5.14461E-01
1.632E-07,5.00789E-01
1.636E-07,5.06648E-01
1.640E-07,5.08602E-01
1.644E-07,5.00789E-01
1.648E-07,5.02742E-01
1.652E-07,5.00789E-01
1.656E-07,5.08602E-01
1.660E-07,5.08602E-01
1.664E-07,5.02742E-01
1.668E-07,5.10555E-01
1.672E-07,5.14461E-01
1.676E-07,5.10555E-01
1.680E-07,5.00789E-01
1.684E-07,5.02742E-01
1.688E-07,5.02742E-01
1.692E-07,5.02742E-01
1.696E-07,5.02742E-01
1.700E-07,5.12508E-01
1.704E-07,5.08602E-01
1.708E-07,5.08602E-01
1.712E-07,5.08602E-01
1.716E-07,5.14461E-01
1.720E-07,5.06648E-01
1.724E-07,5.04695E-01
1.728E-07,5.06648E-01
1.732E-07,5.14461E-01
1.736E-07,5.02742E-01
1.740E-07,5.04695E-01
1.744E-07,4.94930E-01
1.748E-07,5.08602E-01
1.752E-07,5.10555E-01
1.756E-07,5.10555E-01
1.760E-07,5.10555E-01
1.764E-07,5.08602E-01
1.768E-07,5.08602E-01
1.772E-07,5.02742E-01
1.776E-07,5.02742E-01
1.780E-07,5.02742E-01
1.784E-07,5.10555E-01
1.788E-07,5.16414E-01
1.792E-07,5.08602E-01
1.796E-07,5.08602E-01
1.800E-07,5.06648E-01
1.804E-07,5.06648E-01
1.808E-07,5.02742E-01
1.812E-07,5.00789E-01
1.816E-07,5.00789E-01
1.820E-07,5.08602E-01
1.824E-07,5.06648E-01
1.828E-07,5.08602E-01
1.832E-07,4.98836E-01
1.836E-07,5.12508E-01
1.840E-07,5.06648E-01
1.844E-07,5.08602E-01
1.848E-07,5.06648E-01
1.852E-07,5.12508E-01
1.856E-07,5.14461E-01
1.860E-07,5.14461E-01
1.864E-07,5.14461E-01
1.868E-07,5.06648E-01
1.872E-07,5.06648E-01
1.876E-07,5.08602E-01
1.880E-07,5.08602E-01
1.884E-07,5.02742E-01
1.888E-07,5.04695E-01
1.892E-07,5.08602E-01
1.896E-07,5.14461E-01
1.900E-07,5.10555E-01
1.904E-07,5.02742E-01
1.908E-07,5.04695E-01
1.912E-07,4.98836E-01
1.916E-07,5.04695E-01
1.920E-07,5.00789E-01
1.924E-07,4.94930E-01
1.928E-07,4.94930E-01
1.932E-07,5.04695E-01
1.936E-07,5.00789E-01
1.940E-07,4.87117E-01
1.944E-07,4.94930E-01
1.948E-07,4.96883E-01
1.952E-07,4.92977E-01
1.956E-07,5.00789E-01
1.960E-07,4.94930E-01
1.964E-07,4.96883E-01
1.968E-07,4.87117E-01
1.972E-07,4.96883E-01
1.976E-07,4.91023E-01
1.980E-07,4.91023E-01
1.984E-07,4.89070E-01
1.988E-07,4.91023E-01
1.992E-07,4.91023E-01
1.996E-07,4.89070E-01
2.000E-07,4.91023E-01
2.004E-07,4.85164E-01
2.008E-07,4.92977E-01
2.012E-07,4.94930E-01
2.016E-07,4.91023E-01
2.020E-07,4.91023E-01
2.024E-07,4.94930E-01
2.028E-07,4.94930E-01
2.032E-07,4.92977E-01
2.036E-07,4.94930E-01
2.040E-07,5.02742E-01
2.044E-07,4.96883E-01
2.048E-07,4.92977E-01
2.052E-07,4.85164E-01
2.056E-07,4.92977E-01
2.060E-07,4.92977E-01
2.064E-07,4.87117E-01
2.068E-07,4.92977E-01
2.072E-07,4.94930E-01
2.076E-07,4.89070E-01
2.080E-07,4.92977E-01
2.084E-07,4.94930E-01
2.088E-07,4.96883E-01
2.092E-07,4.94930E-01
2.096E-07,5.00789E-01
2.100E-07,4.98836E-01
2.104E-07,4.92977E-01
2.108E-07,4.96883E-01
2.112E-07,4.94930E-01
2.116E-07,4.85164E-01
2.120E-07,4.92977E-01
2.124E-07,4.92977E-01
2.128E-07,4.85164E-01
2.132E-07,4.98836E-01
2.136E-07,4.94930E-01
2.140E-07,4.91023E-01
2.144E-07,4.89070E-01
2.148E-07,4.91023E-01
2.152E-07,4.83211E-01
2.156E-07,4.92977E-01
2.160E-07,4.91023E-01
2.164E-07,4.92977E-01
2.168E-07,4.89070E-01
2.172E-07,4.85164E-01
2.176E-07,4.85164E-01
2.180E-07,4.87117E-01
2.184E-07,4.79305E-01
2.188E-07,4.91023E-01
2.192E-07,4.87117E-01
2.196E-07,4.91023E-01
2.200E-07,4.94930E-01
2.204E-07,4.92977E-01
2.208E-07,4.94930E-01
2.212E-07,4.96883E-01
2.216E-07,4.94930E-01
2.220E-07,4.94930E-01
2.224E-07,4.96883E-01
2.228E-07,5.00789E-01
2.232E-07,5.00789E-01
2.236E-07,4.96883E-01
2.240E-07,5.00789E-01
2.244E-07,5.02742E-01
2.248E-07,4.98836E-01
2.252E-07,4.91023E-01
2.256E-07,5.04695E-01
2.260E-07,4.96883E-01
2.264E-07,5.00789E-01
2.268E-07,5.08602E-01
2.272E-07,5.08602E-01
2.276E-07,5.04695E-01
2.280E-07,5.10555E-01
2.284E-07,5.06648E-01
2.288E-07,5.04695E-01
2.292E-07,5.10555E-01
2.296E-07,4.98836E-01
2.300E-07,4.94930E-01
2.304E-07,4.91023E-01
2.308E-07,4.89070E-01
2.312E-07,5.00789E-01
2.316E-07,4.98836E-01
2.320E-07,4.94930E-01
2.324E-07,4.96883E-01
2.328E-07,4.92977E-01
2.332E-07,4.96883E-01
2.336E-07,4.98836E-01
2.340E-07,5.04695E-01
2.344E-07,5.04695E-01
2.348E-07,4.98836E-01
2.352E-07,4.92977E-01
2.356E-07,5.00789E-01
2.360E-07,5.08602E-01
2.364E-07,5.04695E-01
2.368E-07,5.12508E-01
2.372E-07,5.04695E-01
2.376E-07,5.06648E-01
2.380E-07,5.00789E-01
2.384E-07,5.00789E-01
2.388E-07,5.06648E-01
2.392E-07,5.00789E-01
2.396E-07,4.91023E-01
2.400E-07,5.00789E-01
2.404E-07,5.00789E-01
2.408E-07,4.96883E-01
2.412E-07,5.00789E-01
2.416E-07,4.94930E-01
2.420E-07,4.94930E-01
2.424E-07,5.00789E-01
2.428E-07,4.96883E-01
2.432E-07,5.00789E-01
2.436E-07,5.02742E-01
2.440E-07,4.98836E-01
2.444E-07,4.98836E-01
2.448E-07,5.00789E-01
2.452E-07,4.98836E-01
2.456E-07,5.00789E-01
2.460E-07,4.98836E-01
2.464E-07,4.96883E-01
2.468E-07,4.96883E-01
2.472E-07,4.92977E-01
2.476E-07,4.87117E-01
2.480E-07,4.94930E-01
2.484E-07,4.98836E-01
2.488E-07,4.98836E-01
2.492E-07,5.00789E-01
2.496E-07,5.02742E-01
2.500E-07,5.00789E-01
2.504E-07,4.98836E-01
2.508E-07,4.92977E-01
2.512E-07,4.87117E-01
2.516E-07,4.91023E-01
2.520E-07,5.06648E-01
2.524E-07,4.94930E-01
2.528E-07,4.92977E-01
